1,Conubia fringilla,2290,25,7
2,Possim perpetua adhuc,8105,32,7
3,At perpetua vix,3333,37,5
4,Delicata mauris,4362,36,8
5,Quaestio commodo,7550,38,8
6,Mucius delectus faucibus,1172,46,7
7,Saepe solum gravida,8256,17,7
8,Erroribus ocurreret placerat,4757,18,9
9,Definitiones,3000,0,0
10,Aliquid detracto quam,8556,44,5
11,Pericula urbanitas,9305,11,5
12,Lectus dicta placerat,7024,0,0
13,Liber pharetra eius,5499,0,0
14,Intellegat nullam,1411,20,8
15,Delicata convenire,5320,40,6
16,Viris,8953,0,0
17,Sit consequat fermentum,9540,27,8
18,Fermentum,9538,0,0
19,In tortor has,7904,46,5
20,Est,1023,25,8
21,Aenean,1478,22,8
22,Sale ponderum,4905,37,9
23,Intellegebat honestatis malesuada,3976,18,6
24,Porro,6384,0,0
25,Animal mel,8931,30,5
26,Faucibus,1875,0,0
27,Laudem,5194,0,0
28,Faucibus sea habeo,6062,35,8
29,Scripta,6852,18,5
30,Labores urna intellegebat,7359,0,0
31,Sonet,1203,0,0
32,Vulputate,3001,41,7
33,Faucibus homero ubique,1532,40,9
34,Comprehensam repudiandae,8662,43,8
35,Ferri consequat,3946,46,8
36,Nunc dis atomorum,8956,0,0
37,Iudicabit,1826,49,8
38,Vel pericula,7444,49,7
39,Finibus ius ea,6429,18,5
40,Nominavi,6828,17,5
41,Est mnesarchum dico,6189,18,9
42,Has nisl,991,21,9
43,Sem vocibus persequeris,7683,10,5
44,Non comprehensam,6552,0,0
45,Amet ne,6542,0,0
46,Euripidis ius dolore,4606,32,7
47,Mnesarchum habitant,6508,0,0
48,Urbanitas,2664,0,0
49,Ludus,3214,10,6
50,Neglegentur minim dicant,6431,34,8
51,Maecenas,3258,11,6
52,Intellegebat accusata pulvinar,9452,45,5
53,Auctor viverra praesent,1646,27,9
54,Alienum latine,8534,0,0
55,In,8012,44,6
56,Habemus feugiat,7222,0,0
57,Pericula convenire,6989,34,5
58,Eleifend deterruisset,8264,25,9
59,Nunc habitant cras,727,21,5
60,Appetere,9261,0,0
61,Dolores eirmod ignota,8801,42,9
62,Tincidunt metus posidonium,1961,14,6
63,Dolore,5496,36,5
64,Qualisque,2422,0,0
65,Lectus tale nunc,7883,18,9
66,Mentitum,4984,37,6
67,Adversarium,9352,10,5
68,Tristique maiestatis torquent,8463,12,7
69,Mus eget,6665,0,0
70,Offendit mentitum,5821,44,6
71,Accusata posidonium eripuit,8182,40,6
72,Movet,9741,45,7
73,Urbanitas regione,5062,21,9
74,Dictumst,6742,36,6
75,Patrioque,8372,24,6
76,Periculis sonet putent,6299,27,5
77,Ut,49,0,0
78,Ubique,8469,0,0
79,Laudem,2723,0,0
80,Curae periculis,6228,0,0
81,Affert sapientem,6849,0,0
82,Mei,1797,0,0
83,Epicurei metus,8278,45,5
84,Suspendisse nisl,510,47,6
85,Quaerendum similique,4541,40,7
86,Molestiae explicari,4775,43,8
87,Euismod,9856,47,5
88,Invenire magna dictumst,8364,0,0
89,Gravida,8921,22,8
90,Malesuada porta sed,2708,32,5
91,Novum urbanitas,4764,40,7
92,Quaestio audire melius,8601,42,5
93,Reformidans,854,39,8
94,Pertinacia,5807,0,0
95,Legere,6517,18,5
96,Postea appetere,9503,0,0
97,Ut convallis,3736,0,0
98,Noster delenit auctor,6616,36,8
99,Definitiones,5688,0,0
100,Errem arcu mazim,8466,39,7
