1,Noluisse adversarium,8726,46,5
2,Facilisi curae,1125,0,0
3,Tamquam,3531,47,6
4,Veritus,4070,0,0
5,Nisl,1070,11,8
6,Rutrum legere,5779,0,0
7,Fermentum porta quam,4599,12,5
8,Inimicus,1466,25,9
9,Invidunt,9420,15,8
10,Adversarium,2807,0,0
11,Propriae justo,2143,48,7
12,Postea appareat menandri,388,48,6
13,Massa,9688,0,0
14,Ad,8057,0,0
15,Debet ei assueverit,1433,13,8
16,Civibus minim,4298,10,8
17,Ridiculus latine,967,26,8
18,Ad sapien ignota,2137,35,6
19,Faucibus,523,10,7
20,Ubique,7847,35,7
21,Salutatus,5980,0,0
22,Dignissim aenean,8103,0,0
23,Laudem,9303,22,9
24,Voluptaria veniam,9174,11,7
25,Efficiantur nam,2884,0,0
26,In,6935,45,6
27,Omittam,1067,0,0
28,Epicurei nonumy mattis,7736,32,6
29,Dictas urbanitas,1393,12,6
30,Duo morbi,17,36,6
31,Dicam nunc,1434,0,0
32,Consectetur sociosqu,588,12,6
33,Moderatius deterruisset,8746,0,0
34,Repudiare,609,45,5
35,Semper quaestio,2068,45,8
36,Felis,8146,15,5
37,Sumo,3959,0,0
38,Dis docendi wisi,2491,30,5
39,Homero habitasse utinam,1186,0,0
40,Potenti integer,6421,11,9
41,Facilisis salutatus,4023,0,0
42,Intellegat mel,6852,36,7
43,Quot,4628,42,5
44,Dolores,7410,22,6
45,Aptent felis petentium,1701,42,8
46,Signiferumque,8734,0,0
47,Viris persequeris vehicula,7388,0,0
48,Prodesset antiopam,958,0,0
49,Sagittis,6598,32,7
50,Vehicula mei,3192,47,6
51,Dicta lobortis evertitur,9842,0,0
52,Dicam sociis dissentiunt,8484,36,8
53,Risus scripserit corrumpit,9837,32,8
54,Molestie omnesque,2611,0,0
55,Postulant ius curabitur,3712,25,5
56,Cras fabulas eros,1033,0,0
57,Morbi tristique nam,6800,27,9
58,Vehicula vocent,5423,14,6
59,Principes,2748,18,7
60,Posidonium,9072,0,0
61,Iaculis,1397,31,9
62,Tempor,3878,28,7
63,Tota,7376,26,9
64,Tation himenaeos solum,7159,0,0
65,Ludus fringilla ullamcorper,8182,49,6
66,Definitionem penatibus fastidii,6658,0,0
67,Solet sonet,523,23,9
68,Congue explicari pharetra,4125,0,0
69,Per,2990,0,0
70,Quam eos altera,336,0,0
71,Ac quaerendum,929,40,8
72,Quas nisi eloquentiam,5076,35,5
73,Option,5073,41,8
74,Mandamus,4047,0,0
75,Definitiones eu,2732,37,7
76,Bibendum cu,9953,0,0
77,Menandri pri,7233,0,0
78,Maiestatis nisi dico,1677,0,0
79,Pertinacia solum,586,0,0
80,Natum velit,2875,11,9
81,Duo,2774,48,6
82,Inani amet consequat,6839,0,0
83,Vituperata massa,3570,47,7
84,Mentitum,9188,0,0
85,Donec,5860,46,5
86,Ullamcorper sadipscing,9539,45,5
87,Cetero dapibus viverra,3496,41,9
88,Saepe mus vivamus,8734,10,5
89,Perpetua vix,1130,33,9
90,Unum laudem condimentum,6760,0,0
91,Mutat,1594,14,5
92,Massa,9986,13,8
93,Propriae,6919,0,0
94,Homero repudiare expetenda,9346,31,6
95,Habitasse iisque,2479,13,9
96,Fringilla maecenas,4940,0,0
97,Porttitor mea netus,4214,25,5
98,Sanctus eros,1659,0,0
99,Qui,6012,19,6
100,Gubergren ultrices gloriatur,9377,32,5
